Area,Zone,Time,People.Frequency,Is.Police_Station,Is.Bar,Tier,Residence.Level,Class,Day_of_Week,Lighting
Ramapuram,Aanandam Nagar,Morning,Medium,Yes,No,Middle,Medium,Safe,Monday,Good
Ramapuram,Aanandam Nagar,Morning,Medium,Yes,No,Middle,Medium,Safe,Tuesday,Good
Ramapuram,Aanandam Nagar,Morning,Medium,Yes,No,Middle,Medium,Safe,Wednesday,Good
Ramapuram,Aanandam Nagar,Morning,Medium,Yes,No,Middle,Medium,Safe,Thursday,Good
Ramapuram,Aanandam Nagar,Morning,Medium,Yes,No,Middle,Medium,Safe,Friday,Good
Ramapuram,Aanandam Nagar,Morning,Medium,Yes,No,Middle,Medium,Safe,Saturday,Good
Ramapuram,Aanandam Nagar,Morning,Medium,Yes,No,Middle,Medium,Safe,Sunday,Good
Ramapuram,Aanandam Nagar,Afternoon,High,Yes,No,Middle,Medium,Safe,Monday,Good
Ramapuram,Aanandam Nagar,Afternoon,High,Yes,No,Middle,Medium,Safe,Tuesday,Good
Ramapuram,Aanandam Nagar,Afternoon,High,Yes,No,Middle,Medium,Safe,Wednesday,Good
Ramapuram,Aanandam Nagar,Afternoon,High,Yes,No,Middle,Medium,Safe,Thursday,Good
Ramapuram,Aanandam Nagar,Afternoon,High,Yes,No,Middle,Medium,Safe,Friday,Good
Ramapuram,Aanandam Nagar,Afternoon,High,Yes,No,Middle,Medium,Safe,Saturday,Good
Ramapuram,Aanandam Nagar,Afternoon,High,Yes,No,Middle,Medium,Safe,Sunday,Good
Ramapuram,Aanandam Nagar,Evening,Medium,Yes,No,Middle,Medium,Safe,Monday,Good
Ramapuram,Aanandam Nagar,Evening,Medium,Yes,No,Middle,Medium,Safe,Tuesday,Good
Ramapuram,Aanandam Nagar,Evening,Medium,Yes,No,Middle,Medium,Safe,Wednesday,Good
Ramapuram,Aanandam Nagar,Evening,Medium,Yes,No,Middle,Medium,Safe,Thursday,Good
Ramapuram,Aanandam Nagar,Evening,Medium,Yes,No,Middle,Medium,Safe,Friday,Good
Ramapuram,Aanandam Nagar,Evening,Medium,Yes,No,Middle,Medium,Safe,Saturday,Good
Ramapuram,Aanandam Nagar,Evening,Medium,Yes,No,Middle,Medium,Safe,Sunday,Good
Ramapuram,Aanandam Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Monday,Good
Ramapuram,Aanandam Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Monday,Moderate
Ramapuram,Aanandam Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Monday,Moderate
Ramapuram,Aanandam Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Tuesday,Good
Ramapuram,Aanandam Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Tuesday,Moderate
Ramapuram,Aanandam Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Tuesday,Moderate
Ramapuram,Aanandam Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Wednesday,Good
Ramapuram,Aanandam Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Wednesday,Moderate
Ramapuram,Aanandam Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Wednesday,Moderate
Ramapuram,Aanandam Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Thursday,Good
Ramapuram,Aanandam Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Thursday,Moderate
Ramapuram,Aanandam Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Thursday,Moderate
Ramapuram,Aanandam Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Friday,Good
Ramapuram,Aanandam Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Friday,Moderate
Ramapuram,Aanandam Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Friday,Moderate
Ramapuram,Aanandam Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Saturday,Good
Ramapuram,Aanandam Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Saturday,Moderate
Ramapuram,Aanandam Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Saturday,Moderate
Ramapuram,Aanandam Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Sunday,Good
Ramapuram,Aanandam Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Sunday,Moderate
Ramapuram,Aanandam Nagar,Night,Low,Yes,No,Middle,Medium,Safe,Sunday,Moderate
